Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
6/30/1948,281,Greece,38.5,20.5,33,6.4 UK,,,,6,,
8/25/1948,282,Argentina(see 1948 Salta earthquake),-24.5,-65,50,6.9 MS,,,,5,,
10/5/1948,283,Turkmenistan(see 1948 Ashgabat earthquake),37.5,58,0,7.2 MW,,,,19800,110000,
10/8/1948,284,China,27.4,104,,5.8 UK,,,,9,,
12/4/1948,285,Mexico,22,-106.5,0,6.9 UK,,,,4,,
2/23/1949,286,China,41,83.5,0,7.3 MW,,,,12,,
4/13/1949,287,United States(see 1949 Olympia earthquake),47.25,-122.5,60,6.5 MS,,,,8,8,
4/20/1949,288,Chile,-38,-73.5,70,7.1 mb,,,,57,,
7/10/1949,289,Tajik Soviet Socialist Republic(see 1949 Khait earthquake),39,70.5,0,7.6 MW,,,,12000,,
7/23/1949,290,Turkey,38.6,26.3,0,6.8 UK,T,,,7,,
8/5/1949,291,Ecuador (see1949 Ambato earthquake),-1.5,-78.25,0,6.8 UK,,,,6000,6000,
8/17/1949,292,Turkey (see1949 Karlıova earthquake),39.5,40.6,0,6.8 UK,,,,320,437,
12/17/1949,293,Chile (see1949 Tierra del Fuego earthquake),-54,-71,0,7.8 MW,,,,1,,
12/17/1949,294,Chile,-54,-71,0,7.8 MW,,,,3,,
12/29/1949,295,Philippines,18,121,0,7.2 MW,T,,,15,,
5/21/1950,296,Peru,-13.5,-72,,6.0 UK,,,,120,,
6/19/1950,297,Indonesia,-6.25,112,0,6.8 UK,,,,16,,
8/3/1950,298,Venezuela,10.5,-68,8,6.8 UK,,,,100,,
8/15/1950,299,China (see1950 Medog earthquake),28.5,96.5,0,8.6 UK,L,,,3300,1500,
12/9/1950,300,Chile,-23.5,-67.5,100,7.7 mb,,,,4,,
7/9/1951,301,Mexico,16.1,-96.8,50,6.2 UK,,,,1,,
8/13/1951,302,Turkey (see1951 Kur_unlu earthquake),40.8,33.4,0,6.7 UK,,,,50,,
10/21/1951,303,Taiwan (see1951 East Rift Valley earthquakes),23.75,121.5,0,7.5 MW,,,,68,,
11/24/1951,304,Taiwan (see1951 East Rift Valley earthquakes),23,122.5,0,7.3 MW,,,,17,,
1/3/1952,305,Turkey (see1952 Hasankale earthquake),39.9,41.7,,6.0 UK,,,,103,,
3/4/1952,306,Japan,42.5,143,0,8.1 MW,T,,,33,30,
6/11/1952,307,Argentina(see 1952 San Juan earthquake),-31.581,-68.467,25,6.5 MS,,,,5,,
7/17/1952,308,Japan,34.4,135.8,64,6.8 UK,,,,9,,
7/21/1952,309,United States(see 1952 Kern County earthquake),34.949,-119.046,10,7.3 UK,,,,12,14,
8/17/1952,310,China,30.797,91.648,10,7.7 MW,,,,54,,
8/22/1952,311,United States,35.333,-118.917,16,5.8 UK,,,,2,,
10/22/1952,312,Turkey,36.5,35.5,,5.0 UK,,,,10,,
11/4/1952,313,Russian Federation(seeKamchatka earthquakes),52.755,160.057,22.2,9.0 UK,T,,,,,
1/25/1953,314,Haiti,18.4,-73.4,,5.7 UK,,,,2,,
2/12/1953,315,Iran,35.4,55.1,,6.4 UK,,,,973,,
3/18/1953,316,Turkey (see1953 Yenice-Gönen earthquake),40.12,27.621,15,7.2 MW,,,,1103,1200,
5/6/1953,317,Chile,-37.254,-72.92,68.4,7.5 mb,T,,,19,,
8/12/1953,318,Greece (see1953 Ionian Earthquake),38.046,20.766,15,7.2 MW,,,,800,455,
9/10/1953,319,Cyprus,35,32.5,,6.5 UK,,,,40,,
