Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
3/14/2006,1248,Indonesia,-3.595,127.214,30,6.7 MW,"T,L",0,4,,4,
3/20/2006,1249,Algeria,36.623,5.328,10,5.2 MW,,4,4,,4,
3/25/2006,1250,Iran,27.574,55.685,18,5.9 MW,,1,1,,,
3/31/2006,1251,Iran (see2006 Borujerd earthquake),33.5,48.78,7,6.1 MW,,70,70,,63,
4/25/2006,1252,Australia,-41.164,146.863,4,2.2 ML,,0,1,,,
5/26/2006,1253,Indonesia(see May 2006 Java earthquake),-7.961,110.446,12,6.4 MW,,5749,5749,,,
6/3/2006,1254,Iran,26.759,55.843,12,5.1 MW,,2,2,,,
7/17/2006,1255,Indonesia(see July 2006 Java earthquake),-9.254,107.411,34,7.7 MW,T,0,730,,,
7/22/2006,1256,China (see2006 Yanjin earthquake),27.995,104.138,55,4.9 MW,L,0,22,,22,
7/29/2006,1257,Tajikistan(see 2006 Tajikistan earthquake),37.255,68.828,34,5.6 MW,,3,3,,3,
8/25/2006,1258,China,28.012,104.151,21,5.0 MW,L,1,1,,,
9/29/2006,1259,Venezuela,10.814,-61.758,52,5.5 MW,,1,1,,,
12/1/2006,1260,Indonesia,-8.251,118.777,43,6.3 MW,,0,1,,,
12/17/2006,1261,Indonesia,0.626,99.859,30,5.8 MW,L,7,7,,,
12/26/2006,1262,Taiwan (see2006 Hengchun earthquake),21.799,120.547,10,7.0 MW,,2,2,,,
1/21/2007,1263,Indonesia,1.065,126.282,22,7.5 MW,,3,4,,,
3/6/2007,1264,Indonesia(see March 2007 Sumatra earthquakes),-0.48,100.47,19.3,6.4 MW,,67,67,,67,
3/25/2007,1265,Japan (see2007 Noto earthquake),37.34,136.54,8,6.7 MW,T,1,1,,1,
4/1/2007,1266,Solomon Islands (see2007 Solomon Islands earthquake,-8.43,157.06,10,8.1 MW,"T,L",0,54,,,
4/21/2007,1267,Chile (see2007 Aisén Fjord earthquake),-45.24,-72.67,36.7,6.2 MW,"T,L",0,10,,10,
6/2/2007,1268,China,23.02,101.01,5,6.1 MW,L,3,3,,3,
7/16/2007,1269,Japan (see2007 Chuetsu offshore earthquake),37.52,138.46,12,6.6 MW,"T,L",9,9,,9,
7/21/2007,1270,Tajikistan,38.936,70.485,10,5.2 MW,L,3,12,,11,
8/2/2007,1271,Russian Federation,47.11,141.81,5,6.2 MW,T,2,2,,2,
8/15/2007,1272,Peru (see2007 Peru earthquake),-13.38,-76.61,39,8.0 MW,L,514,514,,519,
9/12/2007,1273,Indonesia,-4.44,101.37,34,8.5 MW,T,25,25,,,
9/12/2007,1274,Indonesia,-2.66,100.83,37.3,7.9 MW,,,,,,
9/13/2007,1275,Indonesia,-2.15,99.61,27,7.1 MW,,,,,,
10/26/2007,1276,Pakistan,35.304,76.753,10,5.2 MW,L,1,1,,,
11/6/2007,1277,India,21.181,70.724,10,5.1 MW,,1,1,,,
11/7/2007,1278,Philippines,9.721,124.647,71,5.3 MW,,1,1,,,
11/14/2007,1279,Chile,-22.247,-69.89,40,7.7 MW,T,2,2,,,
11/25/2007,1280,Indonesia,-8.292,118.37,20,6.5 MW,,3,3,,,
11/29/2007,1281,Martinique,14.944,-61.274,156,7.4 MW,,1,1,,,
12/9/2007,1282,Brazil,-15.048,-44.231,10,4.9 mb,,1,1,,,
12/20/2007,1283,New Zealand(see 2007 Gisborne earthquake),-39.011,178.291,20,6.6 MW,,0,1,,,
1/9/2008,1284,Algeria,35.616,-0.57,10,4.6 Mb,,1,1,,,
1/22/2008,1285,Indonesia,1.011,97.442,20,6.2 MW,,1,1,,,
2/3/2008,1286,Democratic Republic of the Congo(see 2008 Lake Kivu earthquake),-2.296,28.9,10,5.9 MW,,44,44,,43,
2/6/2008,1287,India,23.433,87.111,10,4.3 mb,,1,1,,,
2/14/2008,1288,Rwanda,-2.404,28.918,10,5.3 MW,,1,1,,,
2/20/2008,1289,Indonesia,2.768,95.964,26,7.3 MW,,3,3,,3,
5/12/2008,1290,China (see2008 Sichuan earthquake),31.002,103.322,19,7.9 MW,L,69195,88287,,87476,
5/24/2008,1291,Colombia,4.33,-73.764,8,5.9 MW,L,0,6,,,
5/25/2008,1292,China,32.56,105.423,18,6.1 MW,L,8,8,,,
6/6/2008,1293,Algeria,35.883,-0.658,4,5.5 MW,,0,1,,,
6/8/2008,1294,Greece (see2008 Peloponnese earthquake),37.963,21.525,16,6.4 MW,,2,2,,2,
6/13/2008,1295,Japan (see2008 Iwate-Miyagi Nairiku earthquake),39.03,140.881,7,6.9 MW,L,13,13,,13,
6/17/2008,1296,China,32.761,105.554,10,4.8 mb,,2,2,,,
7/15/2008,1297,Greece (see2008 Dodecanese earthquake),35.983,27.785,68,6.4 MW,,,,,,
8/21/2008,1298,China (see2008 Yingjiang earthquakes),25.1,97.9,,5.9 MS,,,,,,
8/30/2008,1299,China (see2008 Panzhihua earthquake),26,101.9,10,5.7 MW,,,,,,41
10/5/2008,1300,Kyrgyzstan(see 2008 Kyrgyzstan earthquake),39.515,73.768,27.6,6.9 MW,,,,,,60[16]
10/6/2008,1301,China (see2008 Damxung earthquake),90.18,29.45,,6.4 MW,,,,,,
10/28/2008,1302,Pakistan (see2008 Pakistan earthquake),67.361,30.65,,6.4 MW,,,,,,215
1/8/2009,1303,Costa Rica(see 2009 Costa Rica earthquake),10.3962,-84.0281,48,6.1 MW,L,,,,,34
4/6/2009,1304,Italy (see2009 L'Aquila earthquake),42.334,13.334,8.8,6.2 MW,,,,,,295
7/9/2009,1305,China (see2009 Yunnan earthquake),25.57,101.05,,5.7 MW,,,,,,
8/10/2009,1306,Japan (see2009 Shizuoka earthquake),138,34.78,,6.4 MW,,,,,,1
9/2/2009,1307,Indonesia(see 2009 West Java earthquake),-7.81,107.259,,7.0 MW,,,,,,79
9/29/2009,1308,Samoa (see2009 Samoa earthquake),-15.5,-172.03,8.1,8.1 MW,,,,,,189
9/30/2009,1309,Indonesia(see 2009 Sumatra earthquakes),-0.75,99.86,,7.6 MW,,,,,,"1,115"
1/12/2010,1310,Haiti (see2010 Haiti earthquake),18.457,-72.533,13,7.0 MW,,,,,,"222,517[17]"
2/27/2010,1311,Chile (see2010 Chile earthquake),-35.846,-72.719,35,8.8 MW [18],T,,,,,521[19]
3/8/2010,1312,Turkey (see2010 Elâzı_ earthquake),38.8,40.1,,6.1 MW,,,,,,42
3/11/2010,1313,Chile (see2010 Pichilemu earthquake),71.929,-34.26,,6.9 MW,L,,,,,1
4/14/2010,1314,China (see2010 Yushu earthquake),96.66,33.22,,6.9 MW,L,,,,,"2,698"
2/21/2011,1315,New Zealand(seeFebruary 2011 Christchurch earthquake),172,-43.58,,6.3 MW,Lq,,,,,181
3/10/2011,1316,China (see2011 Yunnan earthquake),97.59,24.73,,5.4 MW,,,,,,
3/11/2011,1317,Japan (see2011 T_hoku earthquake),38.322,142.369,24.4,9.0 MW,T,,,,,"10,000+ (unofficial)"
3/24/2011,1318,Myanmar(see 2011 Burma earthquake),99.949,20.7,,6.8 MW,,,,,,150+
4/7/2011,1319,Japan (seeApril 2011 Miyagi earthquake),38.2,140,66,7.1 MW,,,,,,
9/18/2011,1320,India (see2011 Sikkim earthquake),27.723,88.064,19.7,6.9 MW,L,,,,,111+
9/23/2011,1321,Turkey (see2011 Van earthquake),38.6,43.5,7.2,7.1 MW,,,,,,"601 (as of October 30, 2011)"
1/30/1901,1322,Japan,40.5,141.3,35,6.9 MS,,,,1,,
10/29/1900,1323,Venezuela,11,-66,0,7.7 MW,,,,,,
11/15/1901,1324,New Zealand(see 1901 Cheviot earthquake),-43,173,0,6.8 MS,,,,1,,
12/16/1902,1325,Uzbekistan,40.8,72.3,9,6.4 UK,,,,4725,,
2/13/1902,1326,Azerbaijan,40.7,48.6,15,6.9 UK,,,,86,,
2/15/1900,1327,China,26,100.1,0,6.5 MS,,,,,,
2/9/1902,1328,Turkey,40.7,33.6,,5.5 UK,,,,4,,
3/29/1903,1329,Judea and Samaria,32.2,35.3,,5.7 UK,,,,20,,
3/31/1901,1330,Bulgaria,43.4,28.7,,6.4 UK,,,,4,,
4/19/1902,1331,Guatemala(see 1902 Guatemala earthquake),14,-91,0,7.5 MW,,,,2000,2000,
4/28/1903,1332,Turkey (see1903 Malazgirt earthquake),39.14,42.65,,7.0 MS,,,,,,3500
5/11/1900,1,Japan,38.7,141.1,5,7.0 MJ,,,,,,
5/28/1903,2,Turkey,40.9,42.7,,5.8 UK,,,,1000,,
7/12/1900,3,Turkey,40.3,43.1,,5.9 UK,,,,140,,
7/3/1902 ,4,China,43.2,129.6,20,6.7 MS,,,,,,
8/11/1903,5,Greece,36.36,22.97,80,8.3 UK,,,,2,,
8/22/1902,6,China,40,77,0,7.7 MW,,,,5650,,
9/19/1902,7,Australia,-35,138,2,6.0 ML,,,,2,,
9/25/1903,8,Iran,35.2,58.2,,6.5 UK,,,,200,,
